Item Name,Description,Reporting Category,Price,SKU,Sellable,Variation Name,Item Type
Left-Wing Commun...fantile Disorder,Left-Wing Communism: An Infantile Disorder,Books,9.0,M4105695,Y, ,Physical
1917 - La révolution russe,1917 - La révolution russe,Books,1.25,M5656447,Y, ,Physical
Anarquismo y Comunismo,Anarquismo y Comunismo,Books,13.0,M1297171,Y, ,Physical
Anti-Dühring,Anti-Dühring,Books,36.0,M7992829,Y, ,Physical
Anti-Dühring,Anti-Dühring,Books,3.0,M7992829,Y, ,Physical
Art and Revolution,Art and Revolution,Books,25.0,M3376991,Y, ,Physical
Bilan et perspec...ion permanente?),Bilan et perspectives (Qu'est-ce que la révolution permanente?),Books,1.25,M1809756,Y, ,Physical
Bolshevism,Bolshevism,Books,10.0,M5894789,Y, ,Physical
Canadian Bolshev... Party of Canada,Canadian Bolsheviks: The Early Years of the Communist Party of Canada,Books,35.0,M2713484,Y, ,Physical
Chartist Revolution,Chartist Revolution,Books,9.0,M8970352,Y, ,Physical
China: From Perm...unter Revolution,China: From Permanent Revolution to Counter Revolution,Books,9.0,M5077279,Y, ,Physical
Class Struggle in the Roman Republic,Class Struggle in the Roman Republic,Books,28.05,M2378754,Y, ,Physical
Classics of Marxism: Volume 1,Classics of Marxism: Volume 1,Books,9.0,M481557,Y, ,Physical
Classics of Marxism: Volume 2,Classics of Marxism: Volume 2,Books,9.0,M2983532,Y, ,Physical
Contre le révisi...ense du marxisme,Contre le révisionnisme pour la défense du marxisme,Books,15.0,M3142072,Y, ,Physical
Contribution to ...olitical Economy,Contribution to the Critique of Political Economy,Books,10.0,M6281021,Y, ,Physical
Crisis of the Fr...ection [1935-36],Crisis of the French Section [1935-36],Books,30.0,M2883768,Y, ,Physical
Dialectics of Nature,Dialectics of Nature,Books,32.4,M5595757,Y, ,Physical
El Estado y la Revolución,El Estado y la Revolución,Books,13.0,M9135337,Y, ,Physical
Empiricism and its Evolution,Empiricism and its Evolution,Books,20.0,M6416168,Y, ,Physical
First Five Years...st International,First Five Years of the Communist International,Books,14.0,M6176791,Y, ,Physical
First World War:... Great Slaughter,First World War: A Marxist Analysis of the Great Slaughter,Books,7.0,M4730190,Y, ,Physical
Germany 1918-193...ism or Barbarism,Germany 1918-1933: Socialism or Barbarism,Books,9.0,M9506079,Y, ,Physical
Germany: From Re...unter-Revolution,Germany: From Revolution to Counter-Revolution,Books,4.0,M4796021,Y, ,Physical
Histoire de la p... de vue marxiste,Histoire de la philosophie : un point de vue marxiste,Books,3.0,M5562808,Y, ,Physical
Histoire de la r... russe; volume 1,Histoire de la révolution russe; volume 1,Books,19.5,M9051156,Y, ,Physical
